sheet_title,breakdown,scenario,series,unit,year,value
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2043,21.38
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2044,21.47
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2045,21.46
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2046,21.51
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2047,21.56
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2048,21.66
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2049,21.61
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2050,21.64
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2027,42.43
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2028,45.1
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2029,47.29
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2030,50.26
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2031,52.94
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2032,55.17
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2033,55.45
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2034,55.5
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2035,55.93
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2036,56.23
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2037,56.03
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2038,56.49
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2039,56.61
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2040,57.35
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2041,57.75
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2042,58.13
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2043,58.43
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2044,59.98
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2045,60.69
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2046,61.69
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2047,62.8
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2048,64.08
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2049,65.34
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Industrial Sector,Net Annual Energy Demand (TWh),2050,66.51
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2027,3.95
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2028,4.49
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2029,4.56
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2030,4.73
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2031,4.91
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2032,4.94
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2033,4.98
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2034,4.99
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2035,5.0
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2036,5.03
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2037,5.03
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2038,5.08
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2039,5.09
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2040,5.14
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2041,5.15
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2042,5.16
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2043,5.17
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2044,5.19
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2045,5.19
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2046,5.23
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2047,5.25
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2048,5.28
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2049,5.29
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Agricultural Sector,Net Annual Energy Demand (TWh),2050,5.31
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2027,2.66
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2028,3.89
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2029,5.22
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2030,6.84
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2031,8.37
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2032,11.37
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2033,13.23
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2034,15.25
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2035,17.4
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2036,19.59
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2037,21.62
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2038,23.65
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2039,25.53
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2040,27.38
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2041,29.03
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2042,30.62
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2043,32.09
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2044,33.5
